position,salary,fppg,value,team,opponent,floor,proj,cieling,proj value,site,spread,opp pa yds all,opp pa yds all/game,opp pa tds all,opp pa tds all/game,opp ru yds all,opp ru yds all/game,opp ru tds all,opp ru tds all/game,game info
Packers ,2900,5.5,1.9,GB,KC,,,,,Home,-6.5,536,,,,159,,,,KC@GB 08:30PM ET
Chiefs ,2900,10.5,3.62,KC,GB,,,,,Away,6.5,418,,,,308,,,,KC@GB 08:30PM ET
Steelers ,2900,4.5,1.55,PIT,BAL,,,,,Home,2.5,873,,,,252,,,,Bal@Pit 08:25PM ET
Ravens ,2700,7.5,2.78,BAL,PIT,,,,,Away,-2.5,766,,,,262,,,,Bal@Pit 08:25PM ET
